Symbol,Leg-In Time,Leg-Out Time,Zone High,Zone Low,Status,Higher Timeframe Leg-In Time,Higher Timeframe Leg-Out Time,Higher Timeframe Zone High,Higher Timeframe Zone Low
ULTRACEMCO.NS,2023-07-21 00:00:00,2023-07-25 00:00:00,8244.150390625,8088.39990234375,Tested,2023-06-01 00:00:00,2023-11-01 00:00:00,8432.150390625,8370.099609375
ULTRACEMCO.NS,2023-08-25 00:00:00,2023-09-04 00:00:00,8360.0,8048.4501953125,Tested,2023-06-01 00:00:00,2023-11-01 00:00:00,8432.150390625,8370.099609375
ULTRACEMCO.NS,2023-10-09 00:00:00,2023-10-11 00:00:00,8186.35009765625,8105.0,Target Achieved,2023-06-01 00:00:00,2023-11-01 00:00:00,8432.150390625,8370.099609375
ULTRACEMCO.NS,2023-10-17 00:00:00,2023-10-19 00:00:00,8349.849609375,8248.0,Tested,2023-06-01 00:00:00,2023-11-01 00:00:00,8432.150390625,8370.099609375
ONGC.NS,2023-07-03 00:00:00,2023-07-06 00:00:00,164.39999389648438,160.0,Target Achieved,2023-07-01 00:00:00,2023-09-01 00:00:00,177.5,174.39999389648438
ONGC.NS,2023-07-17 00:00:00,2023-07-21 00:00:00,168.14999389648438,166.0,Fresh,2023-07-01 00:00:00,2023-09-01 00:00:00,177.5,174.39999389648438
ONGC.NS,2023-07-27 00:00:00,2023-07-31 00:00:00,174.9499969482422,168.89999389648438,Fresh,2023-07-01 00:00:00,2023-09-01 00:00:00,177.5,174.39999389648438
ONGC.NS,2023-08-07 00:00:00,2023-08-09 00:00:00,173.8000030517578,172.60000610351562,Target Achieved,2023-07-01 00:00:00,2023-09-01 00:00:00,177.5,174.39999389648438
POWERGRID.NS,2023-04-18 00:00:00,2023-04-26 00:00:00,175.4250030517578,171.4875030517578,Target Achieved,2023-04-01 00:00:00,2023-06-01 00:00:00,179.9250030517578,172.53750610351562
POWERGRID.NS,2023-05-08 00:00:00,2023-05-10 00:00:00,185.1750030517578,182.02499389648438,Tested,2023-04-01 00:00:00,2023-06-01 00:00:00,179.9250030517578,172.53750610351562
POWERGRID.NS,2023-05-29 00:00:00,2023-09-01 00:00:00,176.9250030517578,172.5,Fresh,N/A,N/A,N/A,N/A
POWERGRID.NS,2023-09-07 00:00:00,2023-09-11 00:00:00,195.97500610351562,192.8249969482422,Target Achieved,2023-09-01 00:00:00,2023-12-01 00:00:00,205.9499969482422,209.4499969482422
POWERGRID.NS,2023-10-12 00:00:00,2023-10-16 00:00:00,202.39999389648438,199.3000030517578,Tested,2023-09-01 00:00:00,2023-12-01 00:00:00,205.9499969482422,209.4499969482422
POWERGRID.NS,2023-11-01 00:00:00,2023-11-06 00:00:00,206.5,200.89999389648438,Fresh,2023-09-01 00:00:00,2023-12-01 00:00:00,205.9499969482422,209.4499969482422
TITAN.NS,2023-06-13 00:00:00,2023-06-16 00:00:00,2928.199951171875,2897.0,Tested,2023-06-01 00:00:00,2023-11-01 00:00:00,3067.949951171875,3168.35009765625
TITAN.NS,2023-06-26 00:00:00,2023-06-28 00:00:00,2989.199951171875,2940.699951171875,Tested,2023-06-01 00:00:00,2023-11-01 00:00:00,3067.949951171875,3168.35009765625
TITAN.NS,2023-06-28 00:00:00,2023-07-04 00:00:00,3067.949951171875,3026.300048828125,Target Achieved,2023-06-01 00:00:00,2023-11-01 00:00:00,3067.949951171875,3168.35009765625
TITAN.NS,2023-08-09 00:00:00,2023-08-17 00:00:00,3067.449951171875,2917.0,Fresh,2023-06-01 00:00:00,2023-11-01 00:00:00,3067.949951171875,3168.35009765625
TITAN.NS,2023-08-29 00:00:00,2023-09-06 00:00:00,3157.5,3067.0,Target Achieved,2023-06-01 00:00:00,2023-11-01 00:00:00,3067.949951171875,3168.35009765625
TITAN.NS,2023-09-06 00:00:00,2023-09-08 00:00:00,3182.949951171875,3152.0,Target Achieved,2023-06-01 00:00:00,2023-11-01 00:00:00,3067.949951171875,3168.35009765625
NTPC.NS,2023-07-04 00:00:00,2023-07-06 00:00:00,194.75,192.35000610351562,Tested,2023-07-01 00:00:00,2023-09-01 00:00:00,218.9499969482422,216.14999389648438
NTPC.NS,2023-07-21 00:00:00,2023-07-25 00:00:00,197.0,192.9499969482422,Fresh,2023-07-01 00:00:00,2023-09-01 00:00:00,218.9499969482422,216.14999389648438
NTPC.NS,2023-07-25 00:00:00,2023-07-28 00:00:00,203.0,200.0,Fresh,2023-07-01 00:00:00,2023-09-01 00:00:00,218.9499969482422,216.14999389648438
NTPC.NS,2023-08-17 00:00:00,2023-08-22 00:00:00,219.5500030517578,213.3000030517578,Fresh,2023-07-01 00:00:00,2023-09-01 00:00:00,218.9499969482422,216.14999389648438
